Trial ID, Session ID, User ID, Question ID, Question Text, Question Type, User Answer, Correct Answer, Response Time, Button Response 1, Button Response 2, Button Response 3, Button Response 4, Button Response Submit, Trial Onset, Feedback Onset, Current Date, Current Year, Current Time, Current Time MS, Semester, Grade, Age, Handedness, Gender, SEAGroup, iPad Number, Math Recall Array, Math Verification Array, Math Recall Orientation
10, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 10, 4 + 3 = 7, Arithmetic Verification, True, true, 1936.0, None, None, None, None, None, 20335.0, 22273.0, May 12, 2017, 8:56:33 AM, 32193000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
11, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 11, 3 + 6 = 9, Arithmetic Verification, True, true, 1279.0, None, None, None, None, None, 23025.0, 24305.0, May 12, 2017, 8:56:35 AM, 32195000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
12, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 12, 5 + 3 = 8, Arithmetic Verification, True, true, 1093.0, None, None, None, None, None, 25057.0, 26151.0, May 12, 2017, 8:56:36 AM, 32196000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
13, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 13, 5 + 3 = 14, Arithmetic Verification, False, false, 1130.0, None, None, None, None, None, 26903.0, 28034.0, May 12, 2017, 8:56:38 AM, 32198000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
14, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 14, 5 + 4 = 20, Arithmetic Verification, False, false, 1297.0, None, None, None, None, None, 28786.0, 30085.0, May 12, 2017, 8:56:40 AM, 32200000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
15, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 15, 4 + 5 = 9, Arithmetic Verification, True, true, 930.0, None, None, None, None, None, 30837.0, 31768.0, May 12, 2017, 8:56:42 AM, 32202000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
16, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 16, 5 + 6 = 30, Arithmetic Verification, False, false, 1170.0, None, None, None, None, None, 32520.0, 33691.0, May 12, 2017, 8:56:44 AM, 32204000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
17, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 17, 5 + 6 = 28, Arithmetic Verification, False, false, 2058.0, None, None, None, None, None, 34443.0, 36502.0, May 12, 2017, 8:56:47 AM, 32207000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
18, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 18, 4 + 2 = 6, Arithmetic Verification, True, true, 1503.0, None, None, None, None, None, 37254.0, 38758.0, May 12, 2017, 8:56:49 AM, 32209000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
19, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 19, 6 + 4 = 10, Arithmetic Verification, True, true, 1113.0, None, None, None, None, None, 39510.0, 40624.0, May 12, 2017, 8:56:51 AM, 32211000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
20, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 20, 2 x 6 = 9, Arithmetic Verification, False, false, 6126.0, None, None, None, None, None, 41376.0, 47503.0, May 12, 2017, 8:56:58 AM, 32218000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
21, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 21, 3 x 2 = 6, Arithmetic Verification, True, true, 798.0, None, None, None, None, None, 48255.0, 49053.0, May 12, 2017, 8:56:59 AM, 32219000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
22, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 22, 4 x 6 = 24, Arithmetic Verification, True, true, 699.0, None, None, None, None, None, 49806.0, 50506.0, May 12, 2017, 8:57:01 AM, 32221000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
23, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 23, 3 x 6 = 18, Arithmetic Verification, True, true, 982.0, None, None, None, None, None, 51258.0, 52241.0, May 12, 2017, 8:57:03 AM, 32223000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
24, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 24, 5 x 4 = 20, Arithmetic Verification, True, true, 1043.0, None, None, None, None, None, 52993.0, 54037.0, May 12, 2017, 8:57:04 AM, 32224000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
25, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 25, 5 x 6 = 11, Arithmetic Verification, True, false, 745.0, None, None, None, None, None, 54790.0, 55536.0, May 12, 2017, 8:57:06 AM, 32226000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
26, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 26, 2 x 4 = 6, Arithmetic Verification, False, false, 1163.0, None, None, None, None, None, 56290.0, 57454.0, May 12, 2017, 8:57:08 AM, 32228000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
27, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 27, 5 x 6 = 30, Arithmetic Verification, True, true, 964.0, None, None, None, None, None, 58206.0, 59170.0, May 12, 2017, 8:57:09 AM, 32229000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
28, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 28, 4 x 5 = 9, Arithmetic Verification, False, false, 1217.0, None, None, None, None, None, 59923.0, 61141.0, May 12, 2017, 8:57:11 AM, 32231000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
29, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 29, 5 x 3 = 7, Arithmetic Verification, False, false, 1347.0, None, None, None, None, None, 61893.0, 63242.0, May 12, 2017, 8:57:14 AM, 32234000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
30, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 30, 5 x 4 = 8, Arithmetic Verification, False, false, 1480.0, None, None, None, None, None, 63994.0, 65475.0, May 12, 2017, 8:57:16 AM, 32236000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
31, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 31, 2 x 5 = 10, Arithmetic Verification, True, true, 1298.0, None, None, None, None, None, 66227.0, 67526.0, May 12, 2017, 8:57:18 AM, 32238000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
32, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 32, 4 x 2 = 8, Arithmetic Verification, True, true, 864.0, None, None, None, None, None, 68277.0, 69142.0, May 12, 2017, 8:57:19 AM, 32239000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
33, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 33, 3 x 5 = 8, Arithmetic Verification, False, false, 1043.0, None, None, None, None, None, 69894.0, 70938.0, May 12, 2017, 8:57:21 AM, 32241000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
34, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 34, 6 x 2 = 12, Arithmetic Verification, True, true, 781.0, None, None, None, None, None, 71690.0, 72472.0, May 12, 2017, 8:57:23 AM, 32243000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
35, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 35, 2 x 4 = 7, Arithmetic Verification, False, false, 915.0, None, None, None, None, None, 73223.0, 74139.0, May 12, 2017, 8:57:24 AM, 32244000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
36, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 36, 6 x 2 = 8, Arithmetic Verification, False, false, 1264.0, None, None, None, None, None, 74891.0, 76155.0, May 12, 2017, 8:57:26 AM, 32246000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
37, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 37, 3 x 4 = 12, Arithmetic Verification, True, true, 1364.0, None, None, None, None, None, 76908.0, 78272.0, May 12, 2017, 8:57:29 AM, 32249000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
38, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 38, 5 x 6 = 13, Arithmetic Verification, False, false, 934.0, None, None, None, None, None, 79025.0, 79960.0, May 12, 2017, 8:57:30 AM, 32250000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
39, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 39, 3 x 5 = 15, Arithmetic Verification, True, true, 1431.0, None, None, None, None, None, 80712.0, 82143.0, May 12, 2017, 8:57:32 AM, 32252000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
40, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 40, 5 + 4 = 9, Arithmetic Verification, True, true, 3280.0, None, None, None, None, None, 82895.0, 86177.0, May 12, 2017, 8:57:37 AM, 32257000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
41, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 41, 3 + 6 = 18, Arithmetic Verification, True, false, 815.0, None, None, None, None, None, 86929.0, 87746.0, May 12, 2017, 8:57:38 AM, 32258000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
42, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 42, 3 + 5 = 8, Arithmetic Verification, False, true, 945.0, None, None, None, None, None, 88498.0, 89444.0, May 12, 2017, 8:57:40 AM, 32260000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
43, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 43, 6 + 3 = 9, Arithmetic Verification, True, true, 1442.0, None, None, None, None, None, 90197.0, 91640.0, May 12, 2017, 8:57:42 AM, 32262000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
44, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 44, 3 + 2 = 4, Arithmetic Verification, False, false, 1385.0, None, None, None, None, None, 92392.0, 93778.0, May 12, 2017, 8:57:44 AM, 32264000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
45, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 45, 2 x 3 = 7, Arithmetic Verification, False, false, 1381.0, None, None, None, None, None, 94530.0, 95912.0, May 12, 2017, 8:57:46 AM, 32266000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
46, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 46, 6 x 5 = 30, Arithmetic Verification, True, true, 943.0, None, None, None, None, None, 96664.0, 97608.0, May 12, 2017, 8:57:48 AM, 32268000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
47, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 47, 3 + 4 = 7, Arithmetic Verification, True, true, 1366.0, None, None, None, None, None, 98360.0, 99728.0, May 12, 2017, 8:57:50 AM, 32270000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
48, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 48, 5 x 2 = 10, Arithmetic Verification, False, true, 960.0, None, None, None, None, None, 100479.0, 101441.0, May 12, 2017, 8:57:52 AM, 32272000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
49, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 49, 6 + 4 = 26, Arithmetic Verification, False, false, 1368.0, None, None, None, None, None, 102193.0, 103562.0, May 12, 2017, 8:57:54 AM, 32274000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
50, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 50, 6 x 4 = 8, Arithmetic Verification, False, false, 1280.0, None, None, None, None, None, 104314.0, 105595.0, May 12, 2017, 8:57:56 AM, 32276000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
51, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 51, 3 + 2 = 5, Arithmetic Verification, True, true, 1526.0, None, None, None, None, None, 106347.0, 107874.0, May 12, 2017, 8:57:58 AM, 32278000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
52, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 52, 4 x 3 = 6, Arithmetic Verification, False, false, 1181.0, None, None, None, None, None, 108626.0, 109808.0, May 12, 2017, 8:58:00 AM, 32280000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
53, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 53, 2 x 5 = 5, Arithmetic Verification, False, false, 1914.0, None, None, None, None, None, 110560.0, 112475.0, May 12, 2017, 8:58:03 AM, 32283000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
54, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 54, 6 x 4 = 10, Arithmetic Verification, False, false, 1402.0, None, None, None, None, None, 113227.0, 114630.0, May 12, 2017, 8:58:05 AM, 32285000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
55, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 55, 2 + 4 = 6, Arithmetic Verification, True, true, 1692.0, None, None, None, None, None, 115382.0, 117075.0, May 12, 2017, 8:58:07 AM, 32287000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
56, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 56, 2 + 3 = 6, Arithmetic Verification, True, false, 968.0, None, None, None, None, None, 117827.0, 118796.0, May 12, 2017, 8:58:09 AM, 32289000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
57, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 57, 2 x 4 = 8, Arithmetic Verification, True, true, 1263.0, None, None, None, None, None, 119548.0, 120813.0, May 12, 2017, 8:58:11 AM, 32291000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
58, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 58, 4 + 3 = 11, Arithmetic Verification, False, false, 927.0, None, None, None, None, None, 121565.0, 122493.0, May 12, 2017, 8:58:13 AM, 32293000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
59, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 59, 6 x 3 = 18, Arithmetic Verification, True, true, 1284.0, None, None, None, None, None, 123245.0, 124530.0, May 12, 2017, 8:58:15 AM, 32295000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
60, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 60, 3 x 4 = 7, Arithmetic Verification, False, false, 1876.0, None, None, None, None, None, 125282.0, 127160.0, May 12, 2017, 8:58:17 AM, 32297000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
61, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 61, 5 + 2 = 10, Arithmetic Verification, False, false, 1879.0, None, None, None, None, None, 127912.0, 129793.0, May 12, 2017, 8:58:20 AM, 32300000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
62, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 62, 5 x 3 = 15, Arithmetic Verification, True, true, 1497.0, None, None, None, None, None, 130546.0, 132044.0, May 12, 2017, 8:58:22 AM, 32302000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
63, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 63, 4 + 3 = 12, Arithmetic Verification, False, false, 980.0, None, None, None, None, None, 132796.0, 133777.0, May 12, 2017, 8:58:24 AM, 32304000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
64, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 64, 3 x 2 = 5, Arithmetic Verification, False, false, 1635.0, None, None, None, None, None, 134529.0, 136165.0, May 12, 2017, 8:58:26 AM, 32306000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
65, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 65, 2 x 3 = 6, Arithmetic Verification, True, true, 942.0, None, None, None, None, None, 136917.0, 137860.0, May 12, 2017, 8:58:28 AM, 32308000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
66, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 66, 5 + 2 = 7, Arithmetic Verification, False, true, 1397.0, None, None, None, None, None, 138613.0, 140011.0, May 12, 2017, 8:58:30 AM, 32310000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
67, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 67, 4 + 6 = 24, Arithmetic Verification, True, false, 1365.0, None, None, None, None, None, 140763.0, 142128.0, May 12, 2017, 8:58:32 AM, 32312000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
68, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 68, 6 + 3 = 17, Arithmetic Verification, False, false, 3751.0, None, None, None, None, None, 142880.0, 146632.0, May 12, 2017, 8:58:37 AM, 32317000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
69, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 69, 5 x 2 = 7, Arithmetic Verification, False, false, 1043.0, None, None, None, None, None, 147384.0, 148428.0, May 12, 2017, 8:58:39 AM, 32319000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
70, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 70, 6 x 4 = 24, Arithmetic Verification, True, true, 1000.0, None, None, None, None, None, 149181.0, 150182.0, May 12, 2017, 8:58:41 AM, 32321000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
71, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 71, 6 + 2 = 8, Arithmetic Verification, False, true, 1543.0, None, None, None, None, None, 150935.0, 152478.0, May 12, 2017, 8:58:43 AM, 32323000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
72, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 72, 6 x 3 = 10, Arithmetic Verification, False, false, 2201.0, None, None, None, None, None, 153230.0, 155433.0, May 12, 2017, 8:58:46 AM, 32326000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
73, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 73, 4 x 3 = 12, Arithmetic Verification, True, true, 960.0, None, None, None, None, None, 156184.0, 157145.0, May 12, 2017, 8:58:47 AM, 32327000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
74, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 74, 2 x 6 = 12, Arithmetic Verification, True, true, 779.0, None, None, None, None, None, 157899.0, 158679.0, May 12, 2017, 8:58:49 AM, 32329000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
75, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 75, 6 + 5 = 11, Arithmetic Verification, False, true, 817.0, None, None, None, None, None, 159431.0, 160249.0, May 12, 2017, 8:58:51 AM, 32331000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
76, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 76, 4 + 6 = 10, Arithmetic Verification, False, true, 953.0, None, None, None, None, None, 161001.0, 161955.0, May 12, 2017, 8:58:52 AM, 32332000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
77, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 77, 3 x 6 = 9, Arithmetic Verification, False, false, 1874.0, None, None, None, None, None, 162708.0, 164583.0, May 12, 2017, 8:58:55 AM, 32335000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
78, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 78, 4 x 5 = 20, Arithmetic Verification, True, true, 1410.0, None, None, None, None, None, 165335.0, 166746.0, May 12, 2017, 8:58:57 AM, 32337000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
79, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 79, 5 + 2 = 11, Arithmetic Verification, False, false, 1200.0, None, None, None, None, None, 167499.0, 168700.0, May 12, 2017, 8:58:59 AM, 32339000, Spring, Third, 8, Left, Female, Group B, 70, None, 2b, None
79, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 0, 6 + 2, Math Recall, 8, 8, 2139.0, 1921.0, None, None, None, 2141.0, 0.0, 2141.0, May 12, 2017, 9:03:30 AM, 32610000, Spring, Third, 8, Left, Female, Group B, 70, One, None, Horizontal
80, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 1, 7 + 8, Math Recall, 15, 15, 2570.0, 4571.0, 5517.0, None, None, 5718.0, 3145.0, 5717.0, May 12, 2017, 9:03:33 AM, 32613000, Spring, Third, 8, Left, Female, Group B, 70, One, None, Horizontal
81, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 2, 32 + 7, Math Recall, 39, 39, 4579.0, 10684.0, 11051.0, None, None, 11301.0, 6721.0, 11301.0, May 12, 2017, 9:03:39 AM, 32619000, Spring, Third, 8, Left, Female, Group B, 70, One, None, Horizontal
82, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 3, 49 + 5, Math Recall, 5, 54, 10002.0, 15891.0, None, None, None, 22307.0, 12304.0, 22307.0, May 12, 2017, 9:03:50 AM, 32630000, Spring, Third, 8, Left, Female, Group B, 70, One, None, Horizontal
83, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 4, 69 + 27, Math Recall, 9, 96, 10002.0, 30886.0, None, None, None, 33312.0, 23309.0, 33312.0, May 12, 2017, 9:04:01 AM, 32641000, Spring, Third, 8, Left, Female, Group B, 70, One, None, Horizontal
84, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 5, 44 + 32, Math Recall, 76, 76, 7471.0, 39670.0, 41471.0, None, None, 41787.0, 34314.0, 41787.0, May 12, 2017, 9:04:10 AM, 32650000, Spring, Third, 8, Left, Female, Group B, 70, One, None, Horizontal
85, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 6, 8 + 5, Math Recall, 13, 13, 4146.0, 46421.0, 46704.0, None, None, 46938.0, 42789.0, 46938.0, May 12, 2017, 9:04:15 AM, 32655000, Spring, Third, 8, Left, Female, Group B, 70, One, None, Vertical
86, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 7, 3 + 4, Math Recall, 7, 7, 1713.0, 49404.0, None, None, None, 49654.0, 47940.0, 49654.0, May 12, 2017, 9:04:17 AM, 32657000, Spring, Third, 8, Left, Female, Group B, 70, One, None, Vertical
87, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 8, 83 + 6, Math Recall, 89, 89, 4313.0, 53710.0, 54755.0, None, None, 54971.0, 50657.0, 54971.0, May 12, 2017, 9:04:23 AM, 32663000, Spring, Third, 8, Left, Female, Group B, 70, One, None, Vertical
88, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 9, 54 + 8, Math Recall, 62, 62, 4931.0, 59755.0, 60793.0, None, None, 60906.0, 55973.0, 60906.0, May 12, 2017, 9:04:29 AM, 32669000, Spring, Third, 8, Left, Female, Group B, 70, One, None, Vertical
89, c5dc1aa1836825642dbfad118ec29d80, ADMIN-UCSF-mk039, 10, 36 + 58, Math Recall, 94, 94, 4214.0, 65438.0, 65921.0, None, None, 66124.0, 61908.0, 66123.0, May 12, 2017, 9:04:34 AM, 32674000, Spring, Third, 8, Left, Female, Group B, 70, One, None, Vertical
